Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;43;208.25138373000001;6789.327651270999;1308.0;Clone(992,358,[{1735:992}],MaxDepth(3));-31.85217604421078;-31.833966482419353;NaN
0;44;5.139322548;6794.466973818999;1310.0;Clone(1553,340,[{1741:1553}],MaxDepth(3));-31.837303514534103;-31.82305873389934;NaN
0;45;12.404719736;6806.871693554998;1323.0;Clone(965,229,[{1671:965}],MaxDepth(3));-31.790857362766;-31.772885254039085;NaN
0;46;42.833758785;6849.705452339998;1331.0;Clone(1558,361,[{1730:1085,1731:1085}],MaxDepth(3));-31.76948400257231;-31.747832301318084;NaN
0;47;20.39170318;6870.0971555199985;1336.0;Clone(345,331,[{1744:1520,1745:1520}],MaxDepth(3));-31.754314616041167;-31.729218552847993;NaN
0;48;18.594404065000003;6888.691559584999;1391.0;Split(726,89,1402,[C(139),C(-139)],MaxDepth(3));-31.730300391573802;-31.704186293188997;NaN
0;49;366.277909996;7254.9694695809985;1405.0;Clone(694,25,[{1830:694,920:694}],MaxDepth(3));-31.693117135563003;-31.659461247300104;NaN
0;50;213.98299177;7468.952461350998;1421.0;Split(677,219,626,[C(130),C(-130)],MaxDepth(3));-31.661350898293044;-31.625256898351072;NaN
0;51;29.094908943;7498.047370293998;1429.0;Clone(1777,361,[{1731:1085}],MaxDepth(3));-31.64815588497735;-31.610963593982934;NaN
0;52;14.226864895;7512.274235188998;1467.0;Split(1850,135,1836,[C(137),C(-137)],MaxDepth(3));-31.641708913922557;-31.604063744484968;NaN
0;53;536.9506087770001;8049.224843965998;1469.0;Clone(225,116,[{1896:1892,781:228,1895:1891}],MaxDepth(3));-31.636434106114145;-31.597506875595904;NaN
0;54;38.513636165;8087.738480130998;1471.0;Clone(213,128,[{773:216}],MaxDepth(3));-31.632600644562824;-31.588631761046255;NaN
0;55;43.242991596;8130.981471726998;1479.0;Clone(627,209,[{1648:1646}],MaxDepth(3));-31.61810867185284;-31.574981201331493;NaN
0;56;11.366881578000001;8142.348353304998;1493.0;Clone(694,25,[{1491:694,1829:694,884:694}],MaxDepth(3));-31.593298313300224;-31.5547178491021;NaN
0;57;162.191727057;8304.540080361998;1507.0;Clone(680,185,[{1676:680}],MaxDepth(3));-31.56855338066682;-31.53308796208833;NaN
0;58;72.761270927;8377.301351288997;1509.0;Clone(538,78,[{650:538}],MaxDepth(3));-31.56538311479975;-31.526976578948243;NaN
0;59;35.780488318;8413.081839606997;1523.0;Clone(672,275,[{1668:672}],MaxDepth(3));-31.5432176375761;-31.505962567059328;NaN
0;60;81.306255762;8494.388095368997;1546.0;Split(727,181,726,[C(109),C(-109)],MaxDepth(3));-31.496922515260867;-31.45730488957365;NaN
