Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;135;70.421911924;12749.216861145007;2954.0;Split(2683,1323,1942,[C(471),C(-471)],MaxDepth(3));-183.85184502343813;-183.84786160838905;NaN
0;136;66.53610243600001;12815.752963581008;2957.0;Split(2561,125,1542,[C(203),C(-203)],MaxDepth(3));-183.68167891779063;-183.6773625839165;NaN
0;137;27.427053165;12843.180016746008;2960.0;Split(2545,189,1446,[C(99),C(-99)],MaxDepth(3));-183.522828907119;-183.52815841569316;NaN
0;138;27.45569654;12870.635713286008;2963.0;Split(2701,1229,2030,[C(711),C(-711)],MaxDepth(3));-183.36542695182223;-183.37311997587094;NaN
0;139;28.56532762;12899.201040906008;2966.0;Split(1938,1337,108,[C(527),C(-527)],MaxDepth(3));-183.2087854971213;-183.2077890329035;NaN
0;140;29.677622200000002;12928.878663106008;2969.0;Split(2434,633,780,[C(191),C(-191)],MaxDepth(3));-183.05273761236904;-183.0596020448887;NaN
0;141;30.945144496;12959.823807602008;2972.0;Split(2695,1253,1994,[C(713),C(-713)],MaxDepth(3));-182.89708600665966;-182.88960010428292;NaN
0;142;29.031169909000003;12988.854977511008;2975.0;Split(2459,533,930,[C(101),C(-101)],MaxDepth(3));-182.75055421710925;-182.73278044127224;NaN
0;143;30.478101669;13019.333079180007;2998.0;Split(3034,1103,2932,[C(598),C(-598)],MaxDepth(3));-181.63590855602396;-181.59454455463867;NaN
0;144;277.438514025;13296.771593205007;3001.0;Split(1924,1393,24,[C(637),C(-637)],MaxDepth(3));-181.49475399250284;-181.44903206818202;NaN
0;145;29.149183415000003;13325.920776620007;3004.0;Split(1937,1341,102,[C(555),C(-555)],MaxDepth(3));-181.35442154085624;-181.3104862183755;NaN
0;146;90.776193249;13416.696969869006;3013.0;Split(2746,947,2196,[C(510),C(-510)],MaxDepth(3));-180.9404292423259;-180.86608062976453;NaN
0;147;60.572404052;13477.269373921006;3022.0;Split(2740,995,2184,[C(566),C(-566)],MaxDepth(3));-180.5350253315026;-180.44042630456062;NaN
0;148;60.327970959000005;13537.597344880007;3025.0;Split(2693,1261,1982,[C(715),C(-715)],MaxDepth(3));-180.40371271246008;-180.30598530948166;NaN
