900146.5716221001;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
907401.256065028;	0.0,49.0,432.0322515893517,432.0322515893517,-368242.32799810654,-368242.32799810654,-368242.32799810654,-73544.92847747814,-73544.92847747814,0.0,0.0
907615.2392279981;	0.0,50.0,369.09191083972837,369.09191083972655,-367873.2360872669,-367873.2360872669,-367873.2360872669,-73465.47177486954,-73465.47177486954,0.0,0.0
907644.346441266;	0.0,51.0,153.31285971500816,153.31285971500816,-367719.9232275518,-367719.9232275518,-367719.9232275518,-73432.26842882235,-73432.26842882235,0.0,0.0
907658.57340398;	0.0,52.0,74.90735668562091,74.90735668562091,-367645.0158708662,-367645.0158708662,-367645.0158708662,-73416.24007843858,-73416.24007843858,0.0,0.0
908195.524195521;	0.0,53.0,61.28799192594454,61.28799192594454,-367583.72787894023,-367583.72787894023,-367583.72787894023,-73401.00847200929,-73401.00847200929,0.0,0.0
908234.0379285021;	0.0,54.0,44.54098976481191,44.54098976481191,-367539.18688917544,-367539.18688917544,-367539.18688917544,-73380.39158091045,-73380.39158091045,0.0,0.0
908277.2810608951;	0.0,55.0,168.3822309172669,168.3822309172669,-367370.80465825816,-367370.80465825816,-367370.80465825816,-73348.68133069306,-73348.68133069306,0.0,0.0
908288.648060334;	0.0,56.0,288.27155602294783,288.27155602294783,-367082.5331022353,-367082.5331022353,-367082.5331022353,-73301.60956346418,-73301.60956346418,0.0,0.0
908450.83993885;	0.0,57.0,287.5113722675204,287.5113722675204,-366795.0217299678,-366795.0217299678,-366795.0217299678,-73251.3633359312,-73251.3633359312,0.0,0.0
908523.601365412;	0.0,58.0,36.83531910951024,36.83531910951024,-366758.1864108583,-366758.1864108583,-366758.1864108583,-73237.16659289677,-73237.16659289677,0.0,0.0
908559.3820376571;	0.0,59.0,257.5406798615829,257.5406798615829,-366500.6457309967,-366500.6457309967,-366500.6457309967,-73188.35104327882,-73188.35104327882,0.0,0.0
908640.688422568;	0.0,60.0,537.9030261806115,537.903026180612,-365962.742704816,-365962.742704816,-365962.742704816,-73075.31925847959,-73075.31925847959,0.0,0.0
908974.483117496;	0.0,61.0,2178.3395533611074,2178.3395533611074,-363784.4031514549,-363784.4031514549,-363784.4031514549,-72671.56795012784,-72671.56795012784,0.0,0.0
909202.3056181411;	0.0,62.0,273.29079787269984,273.29079787269984,-363511.1123535822,-363511.1123535822,-363511.1123535822,-72601.1161757396,-72601.1161757396,0.0,0.0
909230.8871520121;	0.0,63.0,169.13533411223216,169.13533411223216,-363341.97701947,-363341.97701947,-363341.97701947,-72587.98914354258,-72587.98914354258,0.0,0.0
909258.749121589;	0.0,64.0,614.0014226565639,614.0014226565639,-362727.9755968135,-362727.9755968135,-362727.9755968135,-72469.41664050658,-72469.41664050658,0.0,0.0
909556.100579421;	0.0,65.0,1620.553529122135,1620.553529122135,-361107.4220676913,-361107.4220676913,-361107.4220676913,-72180.32088941905,-72180.32088941905,0.0,0.0
909637.36658965;	0.0,66.0,90.93465621440589,90.93465621440589,-361016.48741147685,-361016.48741147685,-361016.48741147685,-72150.9963210737,-72150.9963210737,0.0,0.0
909650.403720763;	0.0,67.0,534.7983167618423,534.7983167618424,-360481.6890947151,-360481.6890947151,-360481.6890947151,-72042.70393771463,-72042.70393771463,0.0,0.0
909737.405466811;	0.0,68.0,66.1350406485731,66.1350406485731,-360415.55405406654,-360415.55405406654,-360415.55405406654,-72030.54838399566,-72030.54838399566,0.0,0.0
909948.750582069;	0.0,69.0,111.82740780037248,111.8274078003725,-360303.7266462662,-360303.7266462662,-360303.7266462662,-72009.44368837819,-72009.44368837819,0.0,0.0
910249.3417902711;	0.0,70.0,50.15475157960259,50.15475157960259,-360253.57189468655,-360253.57189468655,-360253.57189468655,-71997.83496747301,-71997.83496747301,0.0,0.0
910255.9770508771;	0.0,71.0,367.8001307125412,367.8001307125412,-359885.77176397404,-359885.77176397404,-359885.77176397404,-71917.39119351555,-71917.39119351555,0.0,0.0
910333.4604080571;	0.0,72.0,630.4056231688519,630.4056231688519,-359255.3661408052,-359255.3661408052,-359255.3661408052,-71782.87305712425,-71782.87305712425,0.0,0.0
910791.677433075;	0.0,73.0,4368.004424394147,4368.004424394147,-354887.36171641096,-354887.36171641096,-354887.36171641096,-70914.596758974,-70914.596758974,0.0,0.0
911256.5199292081;	0.0,74.0,2937.063592613051,2937.0635926130503,-351950.2981237979,-351950.2981237979,-351950.2981237979,-70399.5793698288,-70399.5793698288,0.0,0.0
911343.4144346;	0.0,75.0,2605.4813059610433,2605.4813059610437,-349344.81681783684,-349344.81681783684,-349344.81681783684,-69897.95663014155,-69897.95663014155,0.0,0.0
911447.9998288851;	0.0,76.0,239.31492951181735,239.31492951181735,-349105.5018883251,-349105.5018883251,-349105.5018883251,-69849.71131645337,-69849.71131645337,0.0,0.0
911913.5418440991;	0.0,77.0,3942.0948491725703,3942.094849172572,-345163.4070391524,-345163.4070391524,-345163.4070391524,-69089.74280169017,-69089.74280169017,0.0,0.0
912479.485797769;	0.0,78.0,769.0978509194041,769.0978509194032,-344394.309188233,-344394.309188233,-344394.309188233,-68933.27968568527,-68933.27968568527,0.0,0.0
912812.502899302;	0.0,79.0,769.1124376535643,769.1124376535643,-343625.19675057963,-343625.19675057963,-343625.19675057963,-68776.81696315351,-68776.81696315351,0.0,0.0
913268.7934467781;	0.0,80.0,1419.1190385032153,1419.1190385032153,-342206.0777120764,-342206.0777120764,-342206.0777120764,-68486.00802014963,-68486.00802014963,0.0,0.0
913464.370494649;	0.0,81.0,1099.5931471821568,1099.5931471821568,-341106.4845648942,-341106.4845648942,-341106.4845648942,-68252.30942999948,-68252.30942999948,0.0,0.0
913967.911947367;	0.0,82.0,2464.4423565640072,2464.4423565640072,-338642.0422083302,-338642.0422083302,-338642.0422083302,-67735.9013763371,-67735.9013763371,0.0,0.0
914355.766081425;	0.0,83.0,2613.8990593213507,2613.8990593213507,-336028.1431490089,-336028.1431490089,-336028.1431490089,-67175.13068080979,-67175.13068080979,0.0,0.0
914447.1923319141;	0.0,84.0,1545.699625832409,1545.6996258324082,-334482.4435231765,-334482.4435231765,-334482.4435231765,-66863.0106775886,-66863.0106775886,0.0,0.0
915121.5775067641;	0.0,85.0,2120.1116095107927,2120.1116095107927,-332362.33191366575,-332362.33191366575,-332362.33191366575,-66424.42468067315,-66424.42468067315,0.0,0.0
915449.886967682;	0.0,86.0,102.60277636393957,102.60277636393957,-332259.72913730185,-332259.72913730185,-332259.72913730185,-66403.0018140293,-66403.0018140293,0.0,0.0
915555.8465697691;	0.0,87.0,1585.3100966144077,1585.3100966144077,-330674.4190406875,-330674.4190406875,-330674.4190406875,-66085.91839253715,-66085.91839253715,0.0,0.0
915782.7491540171;	0.0,88.0,2929.9853675989307,2929.9853675989307,-327744.43367308856,-327744.43367308856,-327744.43367308856,-65456.545615082614,-65456.545615082614,0.0,0.0
916078.3112324311;	0.0,89.0,279.08512836184036,279.08512836184036,-327465.34854472673,-327465.34854472673,-327465.34854472673,-65392.9204551332,-65392.9204551332,0.0,0.0
916171.8488014081;	0.0,90.0,168.3383761125524,168.3383761125524,-327297.01016861416,-327297.01016861416,-327297.01016861416,-65356.54327773229,-65356.54327773229,0.0,0.0
916186.805338199;	0.0,91.0,82.28997050801513,82.28997050801513,-327214.72019810614,-327214.72019810614,-327214.72019810614,-65338.33810498393,-65338.33810498393,0.0,0.0
917401.089024808;	0.0,92.0,59.854135557203506,59.854135557203506,-327154.86606254894,-327154.86606254894,-327154.86606254894,-65323.139970848475,-65323.139970848475,0.0,0.0
917534.388649233;	0.0,93.0,568.6708186691153,568.6708186691153,-326586.19524387975,-326586.19524387975,-326586.19524387975,-65206.02565902147,-65206.02565902147,0.0,0.0
917548.4015453651;	0.0,94.0,722.9474092457395,722.9474092457395,-325863.24783463404,-325863.24783463404,-325863.24783463404,-65081.072026196314,-65081.072026196314,0.0,0.0
917753.6342753861;	0.0,95.0,38.89081574758873,38.89081574758873,-325824.3570188864,-325824.3570188864,-325824.3570188864,-65074.17346948766,-65074.17346948766,0.0,0.0
918816.896371837;	0.0,96.0,773.4830715422863,773.4830715422863,-325050.8739473442,-325050.8739473442,-325050.8739473442,-64894.69300935179,-64894.69300935179,0.0,0.0
919068.4860622501;	0.0,97.0,192.85939471646574,192.85939471646574,-324858.01455262775,-324858.01455262775,-324858.01455262775,-64851.30366544033,-64851.30366544033,0.0,0.0
919207.5388395911;	0.0,98.0,70.96244875468881,70.96244875468881,-324787.052103873,-324787.052103873,-324787.052103873,-64836.113470650285,-64836.113470650285,0.0,0.0
919302.5589139741;	0.0,99.0,103.63190951816969,103.63190951816969,-324683.4201943548,-324683.4201943548,-324683.4201943548,-64813.08703292528,-64813.08703292528,0.0,0.0
919639.209295836;	0.0,100.0,229.32610016290394,229.32610016290394,-324454.0940941919,-324454.0940941919,-324454.0940941919,-64764.88030380311,-64764.88030380311,0.0,0.0
920919.40198312;	0.0,101.0,153.86486515392312,153.86486515392312,-324300.229229038,-324300.229229038,-324300.229229038,-64722.65150914328,-64722.65150914328,0.0,0.0
