517776.142281352;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
526946.3350046261;	0.0,59.0,11404.190179609752,11404.190179609752,-1.0077283313103672E7,-1.0077283313103672E7,-1.0077283313103672E7,-2520778.4876111494,-2520778.4876111494,0.0,0.0
526973.7587309481;	0.0,60.0,11400.452305075909,11400.452305075909,-1.0065882860798595E7,-1.0065882860798595E7,-1.0065882860798595E7,-2517844.133241284,-2517844.133241284,0.0,0.0
526999.55090267;	0.0,61.0,11368.866138399633,11368.866138399633,-1.0054513994660195E7,-1.0054513994660195E7,-1.0054513994660195E7,-2514902.4550525965,-2514902.4550525965,0.0,0.0
527028.2789816001;	0.0,62.0,11367.04977697874,11367.04977697874,-1.0043146944883218E7,-1.0043146944883218E7,-1.0043146944883218E7,-2511994.4296914903,-2511994.4296914903,0.0,0.0
527055.2000967821;	0.0,63.0,11340.13312489889,11340.13312489889,-1.0031806811758319E7,-1.0031806811758319E7,-1.0031806811758319E7,-2509003.9897476723,-2509003.9897476723,0.0,0.0
527085.4109769061;	0.0,64.0,11338.064725684548,11338.064725684548,-1.0020468747032637E7,-1.0020468747032637E7,-1.0020468747032637E7,-2506253.410450509,-2506253.410450509,0.0,0.0
527111.366851559;	0.0,65.0,11321.988220626838,11321.988220626838,-1.0009146758812008E7,-1.0009146758812008E7,-1.0009146758812008E7,-2503335.78759648,-2503335.78759648,0.0,0.0
527137.7554614941;	0.0,66.0,11280.64189481757,11280.64189481757,-9997866.11691719,-9997866.11691719,-9997866.11691719,-2500515.5473470967,-2500515.5473470967,0.0,0.0
527163.976540647;	0.0,67.0,11259.612160841963,11259.612160841963,-9986606.504756348,-9986606.504756348,-9986606.504756348,-2497611.643233523,-2497611.643233523,0.0,0.0
527245.518398322;	0.0,68.0,11233.443266593094,11233.443266593094,-9975373.061489755,-9975373.061489755,-9975373.061489755,-2494594.3133683833,-2494594.3133683833,0.0,0.0
527274.854528364;	0.0,69.0,33600.183116016815,33600.18311601681,-9941772.87837374,-9941772.87837374,-9941772.87837374,-2486018.7225425583,-2486018.7225425583,0.0,0.0
527331.472742631;	0.0,70.0,11193.957809078973,11193.957809078973,-9930578.920564657,-9930578.920564657,-9930578.920564657,-2483123.0957402126,-2483123.0957402126,0.0,0.0
527358.054440613;	0.0,71.0,11166.43570117349,11166.43570117349,-9919412.484863484,-9919412.484863484,-9919412.484863484,-2480378.291200548,-2480378.291200548,0.0,0.0
